filename, language, CSS, SCSS, TypeScript, HTML, comment, blank, total
c:\data\repos\hkdev\propman-8.0\src\app\a\a.component.html, HTML, 0, 0, 0, 3, 0, 1, 4
c:\data\repos\hkdev\propman-8.0\src\app\a\a.component.scss, SCSS, 0, 0, 0, 0, 0, 1, 1
c:\data\repos\hkdev\propman-8.0\src\app\a\a.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 6, 26
c:\data\repos\hkdev\propman-8.0\src\app\a\a.component.ts, TypeScript, 0, 0, 13, 0, 0, 4, 17
c:\data\repos\hkdev\propman-8.0\src\app\app.component.css, CSS, 0, 0, 0, 0, 0, 2, 2
c:\data\repos\hkdev\propman-8.0\src\app\app.component.html, HTML, 0, 0, 0, 101, 35, 10, 146
c:\data\repos\hkdev\propman-8.0\src\app\app.component.ts, TypeScript, 0, 0, 117, 0, 7, 17, 141
c:\data\repos\hkdev\propman-8.0\src\app\app.module.ts, TypeScript, 0, 0, 86, 0, 3, 7, 96
c:\data\repos\hkdev\propman-8.0\src\app\b\b.component.html, HTML, 0, 0, 0, 3, 0, 1, 4
c:\data\repos\hkdev\propman-8.0\src\app\b\b.component.scss, SCSS, 0, 0, 0, 0, 0, 1, 1
c:\data\repos\hkdev\propman-8.0\src\app\b\b.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 6, 26
c:\data\repos\hkdev\propman-8.0\src\app\b\b.component.ts, TypeScript, 0, 0, 13, 0, 0, 4, 17
c:\data\repos\hkdev\propman-8.0\src\app\conditions\conditions.component.html, HTML, 0, 0, 0, 4, 46, 0, 50
c:\data\repos\hkdev\propman-8.0\src\app\conditions\conditions.component.scss, SCSS, 0, 3, 0, 0, 0, 0, 3
c:\data\repos\hkdev\propman-8.0\src\app\conditions\conditions.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 6, 26
c:\data\repos\hkdev\propman-8.0\src\app\conditions\conditions.component.ts, TypeScript, 0, 0, 185, 0, 7, 22, 214
c:\data\repos\hkdev\propman-8.0\src\app\environ-chooser\environ-chooser.component.css, CSS, 3, 0, 0, 0, 0, 1, 4
